nginx-1  | 2025/10/01 09:10:28 [notice] 1#1: worker process 22 exited with code 0
nginx-1  | 2025/10/01 09:10:39 [error] 22#22: *2 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:10:39 [error] 23#23: *3 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:10:49 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:11:53 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 1392 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:12:03 +0000] "POST /admin/admin_users.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:12:03 +0000] "GET /admin/login.php HTTP/1.1" 302 5 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:12:03 +0000] "GET /admin/series.php HTTP/1.1" 200 4995 "http://localhost:8081/admin/admin_users.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
nginx-1  | 2025/10/01 09:13:00 [error] 28#28: *13 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:13:00 [error] 29#29: *14 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:13:00 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:13:00 +0000] "GET /admin/admin_users.php HTTP/1.1" 302 5 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3" "-"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:13:00 +0000] "GET /admin/login.php HTTP/1.1" 200 1179 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3" "-"
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 3 (SIGQUIT) received, shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 21#21: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 22#22: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 24#24: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 22#22: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 23#23: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 21#21: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 24#24: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 28#28: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 23#23: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 26#26: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 28#28: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 33#33: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 26#26: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 33#33: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 27#27: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 29#29: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 30#30: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 37#37: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 27#27: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 29#29: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 34#34: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 25#25: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 37#37: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 30#30: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 43#43: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 21#21: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 36#36: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 22#22: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 35#35: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 34#34: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 24#24: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 25#25: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 32#32: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 42#42: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 43#43: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 38#38: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 36#36: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 35#35: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 39#39: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 31#31: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 32#32: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 42#42: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 40#40: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 38#38: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 28#28: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 39#39: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 31#31: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 40#40: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 41#41: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 33#33: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 41#41: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 26#26: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 23#23: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 44#44: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 45#45: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 27#27: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 44#44: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 45#45: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 34#34: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 43#43: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 32#32: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 29#29: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 30#30: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 37#37: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 25#25: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 36#36: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 42#42: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 35#35: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 38#38: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 31#31: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 40#40: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 46#46: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 39#39: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 46#46: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 41#41: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 47#47: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 47#47: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 44#44: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 45#45: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 46#46: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 47#47: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 48#48: gracefully shutting down
nginx-1  | 2025/10/01 09:16:24 [notice] 48#48: exiting
nginx-1  | 2025/10/01 09:16:24 [notice] 48#48: exit
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 21
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 21 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 37
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 24 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 27 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 31 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 32 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 37 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 39 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 43 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 47 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 34 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 43
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 22
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 22 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 23 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 41
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 41 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 42
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 33 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 42 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 33
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 25
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 25 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 28 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 44 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 38
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 38 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 46
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 35 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 45 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 46 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 48 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 40
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 26 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 29 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 40 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 36
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 36 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 29 (SIGIO) received
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: signal 17 (SIGCHLD) received from 30
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: worker process 30 exited with code 0
nginx-1  | 2025/10/01 09:16:24 [notice] 1#1: exit
nginx-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx-1  | 10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
nginx-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
nginx-1  | 2025/10/01 09:16:25 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:16:25 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:16:32 [error] 22#22: *2 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:16:32 [error] 23#23: *3 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:16:32 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:16:49 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:16:58 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 184 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:18:20 [error] 28#28: *11 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:18:20 [error] 29#29: *12 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:18:20 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:18:20 +0000] "GET /admin/admin_users.php HTTP/1.1" 200 184 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
nginx-1  | 10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
nginx-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
nginx-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
nginx-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
nginx-1  | 2025/10/01 09:21:37 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:21:37 [warn] 1#1: conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | nginx: [warn] conflicting server name "_" on 0.0.0.0:80, ignored
nginx-1  | 2025/10/01 09:21:59 [error] 22#22: *2 open() "/var/www/html/admin/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /admin/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 2025/10/01 09:21:59 [error] 23#23: *3 open() "/var/www/html/web/uploads/banners/_probe.png" failed (2: No such file or directory), client: 172.18.0.1, server: localhost, request: "GET /web/uploads/banners/_probe.png HTTP/1.1", host: "localhost:8081"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:21:59 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 302 5 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:21:59 +0000] "GET /admin/login.php HTTP/1.1" 200 1179 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:21:59 +0000] "GET /admin/admin_users.php HTTP/1.1" 302 5 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:21:59 +0000] "GET /admin/login.php HTTP/1.1" 200 1179 "-" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.26100; ko-KR) PowerShell/7.5.3"
nginx-1  | 172.18.0.1 - - [01/Oct/2025:09:22:47 +0000] "GET /admin/banner_upload_test.php HTTP/1.1" 200 250 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"
nginx-1  | 2025/10/01 09:22:54 [warn] 27#27: *10 a client request body is buffered to a temporary file /var/cache/nginx/client_temp/0000000001, client: 172.18.0.1, server: localhost, request: "POST /admin/banner_upload_test.php HTTP/1.1", host: "localhost:8081", referrer: "http://localhost:8081/admin/banner_upload_test.php"
